data offer,data plan,signal strength,satisfaction,churn
4,8,7,49,54.8168
6,7,9,2,19.3414
5,7,9,2,18.5264
4,5,9,13,24.976300000000002
7,7,6,12,25.816300000000002
6,6,8,64,67.7394
7,5,8,2,17.748099999999997
6,6,6,67,68.5555
4,6,6,87,83.0555
7,7,9,86,87.9024
4,7,8,83,82.2362
7,7,6,12,25.816300000000002
6,6,8,85,84.6759
7,7,9,87,88.7089
4,8,9,10,24.966699999999996
7,8,7,59,65.32679999999999
6,6,6,1,15.3265
6,8,6,47,54.0321
6,7,6,49,54.841800000000006
7,8,7,47,55.648799999999994
7,5,6,70,70.9867
5,5,8,47,52.410599999999995
5,6,8,83,82.24789999999999
4,5,9,38,45.138799999999996
7,8,6,78,79.8486
7,5,6,20,30.661699999999996
4,5,9,23,33.0413
7,7,9,12,28.2214
6,5,7,92,88.7164
5,5,6,86,82.2607
5,5,9,67,69.3423
4,5,6,6,16.9257
4,5,9,81,79.8183
7,8,7,70,74.19829999999999
5,8,6,69,70.9601
4,6,7,14,24.982699999999998
4,7,7,73,73.36949999999999
5,6,8,24,34.6644
4,5,8,9,20.9486
6,7,6,6,20.162300000000002
7,5,9,89,88.71529999999998
6,7,9,11,26.599899999999998
5,5,6,77,75.0022
6,5,8,53,58.0646
4,7,6,42,47.5663
4,7,8,48,54.008700000000005
4,5,9,27,36.2673
5,5,9,77,77.40729999999999
6,6,7,87,85.4872
4,7,8,55,59.6542
5,6,6,62,63.708
4,8,8,38,46.747
6,7,7,12,25.803
5,6,7,25,34.669200000000004
6,6,6,34,41.941
7,5,9,46,54.035799999999995
5,5,7,70,70.1584
5,5,7,74,73.3844
7,5,8,88,87.10709999999999
6,7,8,15,29.0242
4,5,7,76,74.1824
4,8,9,53,59.6462
7,7,8,10,25.8067
6,5,7,51,55.6499
6,6,7,23,33.8712
7,6,9,77,79.8406
4,6,6,0,12.889999999999999
4,8,7,37,45.138799999999996
4,5,7,89,84.6669
6,6,9,44,52.4111
5,7,7,75,75.7975
6,8,6,62,66.1296
6,5,6,69,69.3652
6,8,8,96,95.15400000000001
4,5,6,53,54.8312
4,6,9,75,75.7826
4,6,9,91,88.6866
4,5,6,5,16.1192
7,7,8,81,83.06819999999999
6,5,8,8,21.772100000000002
7,7,8,29,41.1302
5,7,9,36,45.9474
5,8,7,10,24.1783
5,5,8,85,83.0576
6,5,8,43,49.9996
7,5,6,14,25.822699999999998
6,7,6,82,81.4563
7,6,9,25,37.9026
4,8,8,37,45.9405
6,5,7,33,41.1329
7,5,9,51,58.0683
